Model,Accuracy,Precision,Recall,F1 Score
LightGBM,0.966903073286052,0.9662255793831955,0.966903073286052,0.9661481370264867
XGBoost,0.966903073286052,0.9663278638074055,0.966903073286052,0.965847134205453
Voting Classifier,0.9645390070921985,0.9639272376783093,0.9645390070921985,0.96326747500353
Random Forest,0.9432624113475178,0.9427194679154366,0.9432624113475178,0.9427835224385676
Decision Tree,0.9314420803782506,0.9339454056482756,0.9314420803782506,0.9324679807808061
CatBoost,0.9290780141843972,0.930912017673247,0.9290780141843972,0.9296786306814196
SVM,0.900709219858156,0.920734680353185,0.900709219858156,0.9068812144295678
Logistic Regression,0.8817966903073287,0.9080004516636981,0.8817966903073287,0.8899436184275015
