Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8817966903073287,0.9080004516636981,0.8817966903073287,0.8899436184275015
Decision Tree,0.9314420803782506,0.9339454056482756,0.9314420803782506,0.9324679807808061
SVM,0.900709219858156,0.920734680353185,0.900709219858156,0.9068812144295678
