Model,Version,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro,Balanced_Accuracy,MCC,Cohen_Kappa,ROC_AUC,Log_Loss
XGBoost,Default,0.9621749408983451,0.9612843278701814,0.9621749408983451,0.9609852247281909,0.9449236179799977,0.9184803702045081,0.9300360252841758,0.9184803702045081,0.8947350610191529,0.8935162604823864,0.9886396519746257,0.14095249772071838
XGBoost,Tuned,0.9645390070921985,0.9638967977593996,0.9645390070921985,0.9638018457664217,0.9468852319598587,0.9289645220679703,0.9369749598066871,0.9289645220679703,0.9016601543486528,0.9010186730730231,0.9892411673588151,0.1308068186044693
LightGBM,Default,0.9598108747044918,0.9589133688642689,0.9598108747044918,0.9586081317795195,0.9434375880529725,0.9089565606806986,0.9245836369588863,0.9089565606806986,0.8877888120130414,0.8863334597875568,0.9892566927694959,0.17727188455487
LightGBM,Tuned,0.9645390070921985,0.9639637976135521,0.9645390070921985,0.9634830680115996,0.951090448013525,0.9157137881275812,0.9317544804570753,0.9157137881275812,0.9011833037463718,0.8997059939301972,0.9899421808900052,0.24848529947058018
CatBoost,Default,0.9574468085106383,0.9564263295369485,0.9574468085106383,0.9563314366268693,0.9456820203426539,0.9079464596705975,0.9255354468565861,0.9079464596705975,0.8809586663970795,0.8796034218307743,0.9869693188196491,0.14233285097042397
CatBoost,Tuned,0.9645390070921985,0.9640633961419558,0.9645390070921985,0.9637650174676249,0.9635108481262327,0.920450813554262,0.9407858080630184,0.920450813554262,0.9009576408823327,0.8996330159131893,0.9864868178825692,0.13493035754833715
